ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
92	2	5	8	13	2	2	4	2	6	6	9	8	8	8	15	3
93	3	5	8	8	2	2	5	3	4	5	9	5	4	8	6	3
94	2	5	8	7	3	2	5	1	4	22	9	7	6	3	4	5
95	2	5	8	7	3	2	5	1	4	22	9	4	6	3	8	4
96	2	5	8	7	3	2	5	1	4	22	9	5	5	3	7	8
97	2	5	8	13	2	2	4	2	6	6	9	8	6	11	14	3
98	2	5	8	13	1	2	4	2	6	6	9	11	10	7	9	3
99	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
100	2	5	8	13	2	2	4	2	6	6	9	9	8	7	15	3
101	2	5	8	7	3	2	5	1	4	22	9	8	7	3	7	5
102	2	5	8	13	2	2	4	2	6	6	9	8	11	10	18	3
103	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	7
104	2	5	8	13	1	2	4	2	6	6	9	13	8	7	13	3
105	2	5	8	13	1	2	4	2	6	6	9	11	11	7	5	3
106	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
107	2	5	8	7	3	2	5	1	4	22	9	5	6	3	6	5
108	2	5	8	7	3	2	5	1	4	22	9	4	5	3	6	5
109	2	5	8	7	3	2	5	1	4	22	9	4	5	3	4	6
110	2	5	8	13	2	2	4	2	6	6	9	8	6	6	8	3
111	2	5	8	7	3	2	5	1	4	22	9	5	5	3	8	5
112	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
113	2	5	8	13	1	2	4	2	6	6	9	11	10	7	9	3
114	2	5	8	7	3	2	5	1	4	22	9	4	6	3	8	4
115	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
116	2	5	8	7	3	2	5	1	4	22	9	6	6	3	6	4
117	2	5	8	7	3	2	5	1	4	22	9	6	5	3	7	5
118	2	5	8	7	3	2	5	1	4	22	9	4	5	3	5	5
119	2	5	8	13	2	2	4	2	6	6	9	9	5	9	16	3
120	2	5	8	7	3	2	5	1	4	22	9	7	7	3	8	4
121	2	5	8	7	3	2	5	1	4	22	9	6	6	3	4	5
122	2	5	8	13	1	2	4	2	6	6	9	11	11	7	5	3
123	2	5	8	7	3	2	5	1	4	22	9	7	7	3	4	5
124	3	5	6	13	3	2	5	2	7	21	9	4	5	9	3	3
125	2	5	8	13	2	2	4	2	6	6	9	9	8	9	16	3
126	2	5	8	13	1	2	4	2	6	6	9	13	8	7	12	3
127	2	5	8	7	3	2	5	1	4	22	9	6	5	3	6	4
129	2	5	8	7	3	2	5	1	4	22	9	5	6	3	7	6
130	2	5	6	13	3	2	5	3	7	21	9	6	4	7	5	3
