ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
397	2	5	8	15	5	1	5	7	6	20	9	16	11	22	2	6
398	2	4	8	9	6	1	5	2	6	21	9	10	8	13	2	6
399	2	4	8	15	6	1	5	2	6	21	9	23	12	13	2	4
400	2	5	8	15	5	1	5	7	4	21	9	6	14	11	2	6
401	2	5	8	15	5	1	5	7	4	21	9	14	14	13	2	6
402	2	5	8	15	5	1	5	7	6	20	9	18	13	16	2	6
403	2	5	8	9	5	1	5	7	4	21	9	10	7	17	2	8
404	2	5	8	15	5	1	5	7	7	20	9	12	9	10	2	5
405	2	5	8	15	5	1	5	7	4	21	9	6	13	19	2	6
406	2	4	8	15	6	1	5	6	6	21	9	14	6	14	2	7
407	2	5	8	15	5	1	5	7	7	20	9	11	9	11	2	5
408	2	5	8	15	5	1	5	7	4	21	9	6	14	20	2	6
409	2	5	8	15	5	1	5	7	4	21	9	6	14	19	2	6
410	2	5	8	15	5	1	5	7	4	21	9	6	13	20	2	6
411	2	5	8	15	5	1	5	7	5	20	9	7	11	17	2	5
412	2	5	8	15	5	1	5	7	5	20	9	7	12	18	2	5
413	2	5	8	15	5	1	5	7	6	20	9	9	7	8	2	8
414	2	5	8	15	5	1	5	7	4	21	9	6	13	21	2	6
415	2	5	8	15	5	1	5	7	4	21	9	15	13	14	2	6
416	2	5	8	15	5	1	5	7	4	21	9	6	16	20	2	6
417	2	5	8	15	5	1	5	7	4	21	9	5	13	20	2	6
418	2	5	8	15	5	1	5	7	4	21	9	15	12	13	2	6
419	3	5	2	10	1	1	5	2	3	4	9	10	5	12	9	2
420	3	5	2	10	1	1	5	2	3	4	9	6	5	16	10	2
421	3	5	2	10	1	1	5	2	3	4	9	9	5	6	8	2
422	3	5	2	10	1	1	5	2	3	4	9	9	6	12	9	2
423	3	5	2	10	1	1	5	2	3	4	9	6	5	17	10	2
424	3	5	2	10	1	1	5	2	3	4	9	9	5	5	8	2
425	2	3	9	11	3	1	5	2	5	20	9	8	6	10	5	3
426	2	3	9	11	3	1	5	2	5	20	9	7	6	7	7	3
427	2	3	9	11	3	1	5	2	5	20	9	8	6	6	6	3
428	2	3	9	11	3	1	5	2	5	20	9	6	5	14	8	3
429	2	3	9	11	3	1	5	2	5	20	9	7	6	10	7	3
430	2	3	9	10	3	1	5	2	4	20	9	6	6	7	7	3
431	1	2	9	17	1	2	5	6	8	21	9	7	5	9	5	6
432	2	3	9	11	3	1	5	2	4	20	9	5	5	10	10	3
433	2	3	9	11	3	1	5	2	4	20	9	6	9	6	10	3
434	2	3	9	11	3	1	5	2	4	20	9	8	4	5	12	3
435	2	3	9	11	3	1	5	2	4	20	9	6	5	7	9	3
436	2	3	6	10	4	1	5	2	4	19	9	5	6	5	5	3
437	3	5	2	10	1	1	5	2	3	4	9	11	10	10	8	2
438	3	5	2	10	1	1	5	2	3	4	9	11	10	12	8	2
439	3	5	2	10	1	1	5	2	3	4	9	8	7	14	8	2
440	3	5	2	10	1	1	5	2	3	4	9	9	4	7	15	2
441	3	5	2	10	1	1	5	2	3	4	9	9	9	8	7	2
442	3	5	2	10	1	1	5	2	3	4	9	8	6	13	9	2
443	3	5	2	10	1	1	5	2	3	4	7	7	6	10	8	2
444	3	5	2	10	1	1	5	2	3	4	9	10	7	15	9	2
445	2	5	2	10	1	1	5	2	3	4	9	4	6	9	5	2
446	4	5	3	12	2	2	3	1	6	21	8	6	7	6	3	3
447	3	4	2	13	4	2	3	3	8	18	6	2	5	6	3	6
448	3	4	2	13	4	2	3	3	8	18	6	2	4	6	4	6
449	3	4	2	13	4	2	3	3	8	18	6	2	4	5	3	6
450	3	4	2	13	4	2	3	3	8	18	6	2	4	7	3	6
451	3	4	3	13	5	2	3	3	8	18	5	2	5	5	4	5
452	3	4	2	13	4	2	3	3	8	18	6	2	5	5	3	6
453	3	4	2	13	4	2	3	3	9	18	6	2	4	6	3	6
454	3	4	2	13	4	2	3	3	5	18	6	2	6	7	3	6
458	2	5	8	9	5	1	5	4	6	19	9	7	7	12	2	7
459	2	5	8	9	5	1	5	4	6	19	9	2	8	13	2	5
462	2	5	8	9	5	1	5	5	6	19	9	2	5	19	2	6
463	2	5	8	9	5	1	5	5	6	19	9	2	5	18	2	8
464	2	5	8	9	5	1	5	5	6	19	9	2	5	7	2	6
465	2	5	8	9	5	1	5	5	5	19	9	2	5	7	2	7
466	2	5	8	9	5	1	5	5	6	19	9	2	5	13	2	6
467	2	5	8	9	5	1	5	5	6	19	9	2	5	17	2	6
468	2	5	8	9	5	1	5	5	6	19	9	2	5	15	2	6
469	2	5	8	9	5	1	5	5	6	19	9	2	5	9	2	6
470	2	5	8	9	5	1	5	5	5	19	9	4	10	13	2	8
471	2	5	8	9	5	1	5	5	6	19	9	2	6	13	2	7
472	2	5	8	15	5	1	5	7	4	21	9	2	5	3	2	8
473	2	3	6	10	4	1	5	2	4	19	9	2	6	6	5	3
474	2	3	6	10	4	1	5	2	4	19	9	2	8	8	5	3
476	2	3	6	10	4	1	5	2	4	19	9	2	6	5	5	3
477	2	3	6	10	4	1	5	2	4	19	9	2	7	8	5	3
478	2	3	6	10	4	1	5	2	4	19	9	2	8	7	5	3
479	2	3	6	10	4	1	5	2	4	19	9	2	7	7	5	3
480	2	3	6	10	4	1	5	2	4	19	9	7	7	7	5	3
481	2	3	6	10	4	1	5	2	4	19	9	5	7	6	5	3
482	2	3	6	10	4	1	5	2	4	19	9	2	6	9	5	3
483	2	5	8	9	5	1	5	4	6	19	9	2	5	9	2	8
484	2	5	8	9	5	1	5	5	5	19	9	2	7	10	2	7
485	2	5	8	9	5	1	5	4	6	19	9	2	5	17	2	8
486	2	5	8	9	5	1	5	4	6	19	9	2	7	10	2	8
487	2	5	8	9	5	1	5	4	6	19	9	2	8	5	2	7
488	2	5	8	9	5	1	5	5	5	19	9	2	9	11	2	6
489	1	5	3	13	3	2	3	2	4	20	8	4	5	3	4	5
490	1	5	3	13	3	2	3	2	4	25	8	4	4	9	5	6
491	1	5	3	13	3	2	3	2	4	20	8	3	4	3	7	6
492	1	5	3	13	3	2	3	2	4	20	8	5	4	3	5	5
493	1	5	3	13	3	2	3	2	4	20	8	4	4	3	7	4
494	1	5	3	13	3	2	3	2	4	20	8	5	5	9	6	6
495	1	5	3	13	2	2	3	2	4	20	8	2	7	3	6	5
496	1	5	3	13	3	2	3	2	4	20	8	7	4	3	5	4
498	1	5	3	13	3	2	3	2	4	20	8	2	4	3	6	3
499	1	5	3	13	3	2	3	2	4	22	8	10	4	10	4	6
500	1	5	3	13	3	2	3	2	4	25	8	5	4	5	4	5
501	1	5	3	13	3	2	3	2	4	20	8	4	4	3	8	5
502	1	5	3	13	3	2	2	2	4	20	8	4	4	3	5	4
503	1	5	3	13	3	2	3	2	4	20	8	7	5	3	5	4
504	1	5	3	13	3	2	3	2	4	20	8	3	4	3	8	6
505	1	5	3	13	3	2	3	2	4	20	8	4	4	3	11	5
507	1	5	3	13	3	2	3	2	4	20	8	6	4	3	6	5
508	1	5	3	13	3	2	3	2	4	20	8	4	4	3	5	4
509	1	5	3	13	3	2	3	2	4	20	8	6	4	3	7	3
510	1	5	3	13	3	2	3	2	4	20	8	8	3	3	5	4
511	1	4	3	13	3	2	3	2	4	20	8	8	4	3	8	5
512	4	5	12	13	5	2	5	6	9	4	9	8	5	7	13	5
513	4	5	12	13	5	2	5	6	8	4	9	7	6	6	7	5
514	1	5	3	13	3	3	3	2	4	20	8	5	4	3	8	4
515	1	5	3	13	3	2	3	2	5	20	8	5	5	7	5	6
516	1	5	3	13	3	2	3	2	4	20	8	5	5	8	7	9
517	1	5	3	13	3	2	3	2	4	20	8	5	4	3	9	6
518	4	5	12	13	5	2	5	6	8	4	9	7	7	10	7	6
519	4	5	12	13	4	2	5	10	6	4	9	8	7	3	13	4
522	3	4	2	13	5	2	3	3	7	18	6	2	5	7	4	4
523	3	4	2	13	5	2	3	3	7	18	6	2	4	8	4	4
524	3	4	2	13	3	2	3	3	7	18	6	2	5	6	4	4
525	3	4	2	13	5	2	3	3	7	18	6	2	4	8	4	4
526	3	4	2	13	5	2	3	3	7	18	6	2	5	6	4	4
527	3	4	2	13	5	2	3	3	7	18	6	2	5	8	4	4
528	3	4	2	13	5	2	3	3	7	18	6	2	5	8	4	4
529	3	4	2	13	5	2	3	3	7	18	6	2	5	8	4	4
530	3	4	2	13	5	2	3	3	7	18	6	2	5	8	4	4
531	3	4	2	13	3	2	3	3	7	18	6	2	5	6	4	4
532	3	4	2	13	5	2	3	3	7	18	6	2	5	7	4	4
533	3	4	2	13	5	2	3	3	7	18	6	2	4	4	4	4
534	3	4	2	13	5	2	3	3	7	18	6	2	4	8	3	4
535	3	4	2	13	5	2	3	3	7	18	6	2	5	6	3	4
536	3	4	2	13	5	2	3	3	7	18	6	2	5	7	3	4
537	3	4	2	13	5	2	3	3	7	18	6	2	4	8	2	4
538	3	4	2	13	5	2	3	3	7	18	6	2	5	6	3	4
539	3	4	2	13	5	2	3	3	7	18	6	2	4	8	3	4
540	3	4	2	13	3	2	3	3	7	18	6	2	5	6	2	4
541	3	4	2	13	3	2	3	3	7	18	6	2	4	8	3	4
542	3	4	2	13	5	2	3	3	7	18	6	2	4	6	3	4
543	3	4	2	13	5	2	3	3	7	18	6	2	5	6	3	4
544	3	4	2	13	5	2	3	3	7	18	6	2	5	6	2	4
545	3	4	2	13	5	2	3	3	7	18	6	2	5	6	4	4
